PERMIT_NUMBER,OWNER_NAME,STATUS_CODE,CITY,STREET,STATE,ZIP,ZIP4,COUNTY,PERMIT_EFFECTIVE_DATE,PERMIT_ISSUE_DATE,,
CA-S-15040,"FERRARI-CARANO VINEYARDS AND WINERY, LLC",Active,GEYSERVILLE,2450 HIGHWAY 128 ,CA,95441,0,SONOMA,14-Aug-08,14-Aug-08,,
CA-S-15042,"STAG'S LEAP WINE CELLARS, LLC",Active,NAPA,5766 SILVERADO TRL ,CA,94558,6209,NAPA,11-Sep-07,28-Mar-08,,
CA-S-15049,"PARAGON VINEYARD CO., INC.",Active,SAN LUIS OBISPO,4915 ORCUTT RD ,CA,93401,8335,SAN LUIS OBISPO,4-Jun-08,4-Jun-08,,
CA-S-15050,JVW CORPORATION,Active,HEALDSBURG,1474 ALEXANDER VALLEY RD ,CA,95448,9003,SONOMA,18-Apr-08,18-Apr-08,,
CA-S-15051,"VILLA TOSCANO, INC.",Active,PLYMOUTH,10600 SHENANDOAH RD ,CA,95669,0,AMADOR,10-Jul-08,10-Jul-08,,
CA-S-15055,CAKEBREAD CELLARS,Active,RUTHERFORD,8300 ST HELENA HWY ,CA,94573,0,NAPA,15-Dec-09,15-Dec-09,,
CA-S-15056,"CONSTELLATION BRANDS U.S. OPERATIONS, INC.",Active,GEYSERVILLE,19410  GEYSERVILLE AVE ,CA,95441,9603,SONOMA,29-Feb-08,6-Jun-08,,
CA-S-15059,"PELLEGRINI BROS. WINES, INC.",Active,SANTA ROSA,4055 W OLIVET RD ,CA,95401,3839,SONOMA,10-Jul-08,10-Jul-08,,
CA-S-15060,"BRASSFIELD ESTATE WINERY, LLC",Active,CLEARLAKE OAKS,10915 HIGH VALLEY RD ,CA,95423,8526,LAKE,30-May-08,30-May-08,,
CA-S-15064,"THE AGRICULTURAL FOUNDATION OF CALIFORNIA STATE UNIVERSITY, FRESNO",Active,FRESNO,2360  E BARSTOW  AVE ,CA,93740,8003,FRESNO,4-Dec-08,4-Dec-08,,
CA-S-15065,"PHASE 2 CELLARS, LLC",Active,SAN LUIS OBISPO,4910 EDNA RD ,CA,93401,7938,SAN LUIS OBISPO,15-Dec-08,15-Dec-08,,
CA-S-15068,"YERBA BUENA BEVERAGE, LLC",Active,SAN FRANCISCO,990 13TH ST ,CA,94130,1222,SAN FRANCISCO,6-Mar-09,6-Mar-09,,
CA-S-15070,THE WINE GROUP LLC,Active,MADERA,22004 ROAD 24 ,CA,93638,9405,MADERA,13-Feb-09,13-Feb-09,,
CA-S-15071,CEDAR RIDGE APPLE RANCH LLC,Active,SONORA,14679 SUMMERS  LN ,CA,95370,9491,TUOLUMNE,17-Apr-09,17-Apr-09,,
CA-S-15073,"BIN TO BOTTLE, LLC",Active,NAPA,110 CAMINO ORUGA ,CA,94558,0,NAPA,19-Mar-09,19-Mar-09,,
CA-S-15076,"LAGUNA OAKS VINEYARDS & WINERY, INC.",Active,SANTA ROSA,5700 OCCIDENTAL RD ,CA,95401,5533,SONOMA,15-Sep-09,15-Sep-09,,
CA-S-15077,"STONECUSHION, INC.",Active,HOPLAND,10400 S HIGHWAY 101 ,CA,95449,9650,MENDOCINO,31-Mar-09,31-Mar-09,,
CA-S-15080,"CREATIVE ALCOHOL SOLUTIONS, LLC",Active,KING CITY,1010 INDUSTRIAL WAY ,CA,93930,2506,MONTEREY,15-Jun-09,15-Jun-09,,
CA-S-15081,HELLOCELLO LLC,Active,SONOMA,21877 EIGHT ST E,CA,95476,0,SONOMA,22-Jun-09,22-Jun-09,,
CA-S-15082,OLD WORLD SPIRITS L.L.C.,Active,BELMONT,121 INDUSTRIAL RD ,CA,94002,8208,SAN MATEO,30-Apr-09,30-Apr-09,,
CA-S-15085,"NAPA VALLEY LIMONCELLO COMPANY, LLC",Active,NAPA,2485 STOCKTON ST ,CA,94559,3143,NAPA,22-Jul-09,22-Jul-09,,
CA-S-15086,GERARDO DONATO IULIANO,Active,VACAVILLE,7539 PLEASANTS VALLEY RD ,CA,95688,9005,SOLANO,5-Feb-10,5-Feb-10,,
CA-S-15087,"FRANCISCAN VINEYARDS, INC.",Active,SONOMA,26200 ARNOLD DR ,CA,95476,0,SONOMA,8-Feb-10,8-Feb-10,,
CA-S-15088,"DOMAINE CARNEROS, LTD.",Active,NAPA,1240 DUHIG ROAD ,CA,94559,9713,NAPA,18-Dec-09,18-Dec-09,,
CA-S-15089,"SOUZA ENTERPRISES, INC.",Active,ATWATER,3133 HULL RD ,CA,95301,9529,MERCED,2-Nov-09,2-Nov-09,,
CA-S-15090,COLD COCKED BEVERAGES LLC,Active,OAKLAND,2020 DENNISON ST ,CA,94606,5251,ALAMEDA,28-Oct-09,28-Oct-09,,
