PERMIT_NUMBER,OWNER_NAME,STATUS_CODE,CITY,STREET,STATE,ZIP,ZIP4,COUNTY,PERMIT_EFFECTIVE_DATE,PERMIT_ISSUE_DATE
OR-S-15018,"VINN DISTILLERY, INC.",Active,WILSONVILLE,7990 SW BOECKMAN RD ,OR,97070,5769,CLACKAMAS,5-Sep-10,25-Mar-11
OR-S-15020,LIL'BIT DISTILLERY INC,Active,WOODBURN,1501 NE INDUSTRIAL AVE ,OR,97071,7632,MARION,4-Mar-09,4-Mar-09
OR-S-15021,"EASTSIDE DISTILLING, LLC",Active,PORTLAND,1512 SE 7TH AVE ,OR,97214,3411,MULTNOMAH,29-Jun-09,29-Jun-09
OR-S-15023,"STEIN DISTILLERY, INC",Active,JOSEPH,604 NORTH MAIN STREET ,OR,97846,0,WALLOWA,12-May-09,12-May-09
OR-S-15025,"STONE BARN BRANDYWORKS, LLC",Active,PORTLAND,3315 SE 19TH AVE ,OR,97202,2363,MULTNOMAH,28-Oct-09,28-Oct-09
OR-S-15027,MAVERICK SPIRIT LLC,Active,BEND,740 NE 1ST ST ,OR,97701,0,DESCHUTES,1-Apr-10,1-Apr-10
OR-S-15028,GALLAGHER & CARINI LLC,Active,MEDFORD,3582 S PACIFIC HWY ,OR,97501,0,JACKSON,24-May-10,24-May-10
OR-S-15029,BLACK ROCK DISTILLERY LLC,Active,SPRAY,32405 HWY 19 207 ,OR,97874,8251,WHEELER,22-Apr-10,22-Apr-10
OR-S-15030,MICHAEL RYAN WEBSTER / ERIC JOSEPH WEBSTER,Active,BROOKINGS,701  RAILROAD AVE ,OR,97415,0,CURRY,12-Oct-10,12-Oct-10
OR-S-15031,"YOGD, LLC",Active,SAINT HELENS,35855 INDUSTRIAL WAY ,OR,97051,6234,COLUMBIA,2-Aug-10,2-Aug-10
OR-S-15032,"BIG BOTTOM DISTILLING, LLC",Active,HILLSBORO,21420D NW NICHOLAS CT ,OR,97124,6689,WASHINGTON,23-Jul-10,23-Jul-10
OR-S-15034,"DELLA TERRA, LLC",Active,ROSEBURG,240 VINEYARD LN ,OR,97471,9097,DOUGLAS,20-Sep-10,20-Sep-10
OR-S-15036,4 SPIRITS DISTILLERY LLC,Active,CORVALLIS,3405  SW DESCHUTES ST ,OR,97333,0,BENTON,14-Sep-10,14-Sep-10
OR-S-15038,"DOGWOOD DISTILLING, LLC",Active,FOREST GROVE,1835 19TH AVE ,OR,97116,0,WASHINGTON,1-Jan-13,25-Feb-13
OR-S-15040,"ELIXIR, INC.",Active,EUGENE,1050 BETHEL DR ,OR,97402,2064,LANE,14-Jun-11,14-Jun-11
OR-S-15041,DISTILLING HEAD L.L.C.,Active,PORTLAND,4329 #B NE KILLINGSWORTH ,OR,97218,0,MULTNOMAH,28-Apr-11,28-Apr-11
OR-S-15042,"MCMENAMINS, INC.",Active,HILLSBORO,4045 NW CORNELIUS PASS RD ,OR,97124,9367,WASHINGTON,14-Jun-11,14-Jun-11
OR-S-15043,HOUSE SPIRITS DISTILLERY LLC,Active,PORTLAND,68 SE STARK ST ,OR,97214,0,MULTNOMAH,20-Jun-11,20-Jun-11
OR-S-15044,"ALCHEMICAL SOLUTIONS, LLC",Active,ASHLAND,650 MISTLETOE RD ,OR,97520,0,JACKSON,5-May-11,23-Nov-11
OR-S-15045,VERACITY SPIRITS LLC,Active,CORVALLIS,720 NE GRANGER AVE ,OR,97330,9004,BENTON,31-Aug-11,31-Aug-11
OR-S-15046,"GLASER ESTATE WINERY, LLC",Active,ROSEBURG,213 INDEPENDENCE LN ,OR,97471,9540,DOUGLAS,15-Feb-12,15-Feb-12
OR-S-15047,HARRIS BRIDGE VINEYARD LLC,Active,PHILOMATH,22937 HARRIS RD ,OR,97370,6703,BENTON,10-Nov-11,10-Nov-11
OR-S-15048,BULL RUN DISTILLERY LLC,Active,PORTLAND,2259 NW QUIMBY ST ,OR,97210,2765,MULTNOMAH,6-Oct-11,6-Oct-11
OR-S-15050,"PACIFICK DISTILLERS, INC.",Active,ASTORIA,1 4TH ST ,OR,97103,4339,CLATSOP,15-Mar-12,15-Mar-12
OR-S-15052,"INDUSTRIAL ROW DISTILLERY, LLC",Active,PORTLAND,645 N TILLAMOOK ST ,OR,97227,1827,MULTNOMAH,11-May-12,11-May-12
OR-S-20001,"CANNON BEACH DISTILLERY, LLC",Active,CANNON BEACH,1315  S HEMLOCK ST ,OR,97110,0,Clatsop,2-May-12,2-May-12
OR-S-20002,"INDIO SPIRITS, INC.",Active,PORTLAND,7272  SW DURHAM RD ,OR,97224,7560,USA,11-Oct-12,11-Oct-12
OR-S-20003,"ALBANY STEAMWORKS, LLC",Active,ALBANY,635  NE WATER AVE ,OR,97321,2764,Linn,26-Dec-12,26-Dec-12
OR-S-581,"HOOD RIVER DISTILLERS, INC.",Active,HOOD RIVER,660 RIVERSIDE DR ,OR,97031,1177,HOOD RIVER,22-May-63,22-May-63
PA-S-15000,PHILADELPHIA DISTILLING LLC,Active,PHILADELPHIA,1000-1052 FRANKFORD AVE ,PA,19123,0,PHILADELPHIA,28-Nov-07,28-Nov-07
PA-S-15002,"PENNSYLVANIA PURE DISTILLERIES, LLC",Active,GLENSHAW,1101 WILLIAM FLYNN HWY ,PA,15116,2637,ALLEGHENY,20-Feb-08,20-Feb-08
PA-S-15003,"POLYSCIENCES, INC.",Active,WARRINGTON,400 VALLEY RD ,PA,18976,2522,BUCKS,25-Nov-08,25-Nov-08
PA-S-15006,"MOUNTAIN LAUREL SPIRITS, LLC",Active,BRISTOL,925 CANAL ST ,PA,19007,3930,BUCKS,10-Aug-11,10-Aug-11
PA-S-15007,"PITTSBURGH DISTILLING COMPANY, LLC",Active,PITTSBURGH,2401 SMALLMAN ST ,PA,15222,4673,ALLEGHENY,30-Aug-11,30-Aug-11
PA-S-15008,"FOXBURG WINE CELLARS, INC.",Active,FOXBURG,65 MAIN ST ,PA,16036,0,CLARION,16-Dec-11,16-Dec-11
PA-S-15009,"NAOJ & MOT, INC.",Active,PHILADELPHIA,2519-21 MOORE ST ,PA,19145,0,PHILADELPHIA,28-Oct-11,28-Oct-11
PA-S-20001,MIDNIGHT MADNESS DISTILLING LLC,Active,MILFORD TWP,2300  TRUMBAUERSVILLE RD ,PA,18951,0,Bucks,1-Nov-12,1-Nov-12
PA-S-44,"CHARLES JACQUIN ET CIE., INC.",Active,PHILADELPHIA,2655 TRENTON AVE ,PA,19125,1837,PHILADELPHIA,15-Apr-81,15-Apr-81
RI-S-15000,"COASTAL EXTREME BREWING CO., LLC",Active,NEWPORT,293 J.T. CONNELL HWY ,RI,2840,0,NEWPORT,11-May-07,11-May-07
