GEO_ID,NAME,H002001,H002002,H002003,H002004,H002005
id,Geographic Area Name,Total,Total!!Urban,Total!!Urban!!Inside urbanized areas,Total!!Urban!!Inside urban clusters,Total!!Rural
0500000US02275,"Wrangell City and Borough, Alaska",1428,0,0,0,1428
0500000US02230,"Skagway Municipality, Alaska",636,0,0,0,636
0500000US02240,"Southeast Fairbanks Census Area, Alaska",3915,0,0,0,3915
0500000US02261,"Valdez-Cordova Census Area, Alaska",6102,0,0,0,6102
0500000US02282,"Yakutat City and Borough, Alaska",450,0,0,0,450
0500000US02270,"Wade Hampton Census Area, Alaska",2183,0,0,0,2183
0500000US04009,"Graham County, Arizona",12980,7747,0,7747,5233
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",4038,0,0,0,4038
0500000US04001,"Apache County, Arizona",32514,7077,0,7077,25437
0500000US04003,"Cochise County, Arizona",59041,36190,22533,13657,22851
0500000US04007,"Gila County, Arizona",32698,15322,0,15322,17376
0500000US04005,"Coconino County, Arizona",63321,36357,28672,7685,26964
0500000US04023,"Santa Cruz County, Arizona",18010,11564,0,11564,6446
0500000US04011,"Greenlee County, Arizona",4372,2226,0,2226,2146
0500000US04012,"La Paz County, Arizona",16049,5782,0,5782,10267
0500000US04013,"Maricopa County, Arizona",1639279,1600056,1583487,16569,39223
0500000US04015,"Mohave County, Arizona",110911,82615,32835,49780,28296
0500000US04017,"Navajo County, Arizona",56938,24702,0,24702,32236
0500000US04019,"Pima County, Arizona",440909,407366,370529,36837,33543
0500000US04021,"Pinal County, Arizona",159222,128711,93841,34870,30511
0500000US05015,"Carroll County, Arkansas",13559,3044,0,3044,10515
0500000US04025,"Yavapai County, Arizona",110432,71254,43098,28156,39178
0500000US04027,"Yuma County, Arizona",87850,78535,67642,10893,9315
0500000US05001,"Arkansas County, Arkansas",9436,5771,0,5771,3665
0500000US05011,"Bradley County, Arkansas",5860,2768,0,2768,3092
0500000US05009,"Boone County, Arkansas",16827,6487,0,6487,10340
0500000US05003,"Ashley County, Arkansas",10137,4856,0,4856,5281
0500000US05005,"Baxter County, Arkansas",22580,7259,0,7259,15321
0500000US05007,"Benton County, Arkansas",93084,68349,61187,7162,24735
0500000US05013,"Calhoun County, Arkansas",2897,0,0,0,2897
0500000US05017,"Chicot County, Arkansas",5421,2343,0,2343,3078
0500000US05029,"Conway County, Arkansas",9720,2883,0,2883,6837
0500000US05019,"Clark County, Arkansas",10385,4057,0,4057,6328
0500000US05021,"Clay County, Arkansas",8031,3266,0,3266,4765
0500000US05023,"Cleburne County, Arkansas",15826,3034,0,3034,12792
0500000US05025,"Cleveland County, Arkansas",4064,0,0,0,4064
0500000US05027,"Columbia County, Arkansas",11596,4804,0,4804,6792
0500000US05041,"Desha County, Arkansas",6261,4109,0,4109,2152
0500000US05031,"Craighead County, Arkansas",40515,27590,27590,0,12925
0500000US05033,"Crawford County, Arkansas",26115,11984,11984,0,14131
0500000US05035,"Crittenden County, Arkansas",21489,16550,16550,0,4939
0500000US05037,"Cross County, Arkansas",7853,3342,0,3342,4511
0500000US05039,"Dallas County, Arkansas",4305,1768,0,1768,2537
0500000US05057,"Hempstead County, Arkansas",10419,4235,0,4235,6184
0500000US05043,"Drew County, Arkansas",8408,4114,0,4114,4294
0500000US05045,"Faulkner County, Arkansas",46612,28963,27398,1565,17649
0500000US05051,"Garland County, Arkansas",50548,33479,29791,3688,17069
