County,W Weight,Unit Number
"Fayette County, Tennessee",0.000,679
"Fayette County, West Virginia",0.000,680
"Fentress County, Tennessee",0.000,681
"Fergus County, Montana",0.000,682
"Ferry County, Washington",0.000,683
"Fillmore County, Minnesota",0.000,684
"Fillmore County, Nebraska",0.000,685
"Flagler County, Florida",0.000,686
"Flathead County, Montana",0.000,687
"Fleming County, Kentucky",0.000,688
"Florence County, Wisconsin",0.000,689
"Floyd County, Georgia",0.000,690
"Floyd County, Indiana",0.000,691
"Floyd County, Iowa",0.000,692
"Floyd County, Kentucky",0.000,693
"Floyd County, Virginia",0.000,694
"Fluvanna County, Virginia",0.000,695
"Fond du Lac County, Wisconsin",0.000,696
"Forest County, Pennsylvania",0.000,697
"Forest County, Wisconsin",0.000,698
"Forrest County, Mississippi",0.000,699
"Forsyth County, Georgia",0.000,700
"Forsyth County, North Carolina",0.000,701
"Foster County, North Dakota",0.013,702
"Fountain County, Indiana",0.000,703
"Franklin County, Alabama",0.000,704
"Franklin County, Arkansas",0.000,705
"Franklin County, Florida",0.000,706
"Franklin County, Georgia",0.000,707
"Franklin County, Indiana",0.000,708
"Franklin County, Iowa",0.000,709
"Franklin County, Kentucky",0.000,710
"Franklin County, Maine",0.000,711
"Franklin County, Massachusetts",0.000,712
"Franklin County, Mississippi",0.000,713
"Franklin County, Nebraska",0.000,714
"Franklin County, New York",0.000,715
"Franklin County, North Carolina",0.000,716
"Franklin County, Ohio",0.000,717
"Franklin County, Pennsylvania",0.000,718
"Franklin County, Tennessee",0.000,719
"Franklin County, Vermont",0.000,720
"Franklin County, Virginia",0.000,721
"Franklin County, Washington",0.000,722
"Franklin Parish, Louisiana",0.000,723
"Franklin city, Virginia",0.000,724
"Frederick County, Maryland",0.000,725
"Frederick County, Virginia",0.000,726
"Fredericksburg city, Virginia",0.000,727
"Freeborn County, Minnesota",0.000,728
"Fremont County, Colorado",0.006,729
"Fremont County, Iowa",0.000,730
"Fremont County, Wyoming",0.000,731
"Frontier County, Nebraska",0.000,732
"Fulton County, Arkansas",0.000,733
"Fulton County, Georgia",0.000,734
"Fulton County, Indiana",0.000,735
"Fulton County, Kentucky",0.000,736
"Fulton County, New York",0.000,737
"Fulton County, Ohio",0.000,738
"Fulton County, Pennsylvania",0.000,739
"Furnas County, Nebraska",0.000,740
"Gadsden County, Florida",0.000,741
"Gage County, Nebraska",0.000,742
"Galax city, Virginia",0.018,743
"Gallatin County, Kentucky",0.000,744
"Gallatin County, Montana",0.000,745
"Gallia County, Ohio",0.000,746
