state,county,cz,czname,hhinc_mean2000,mean_commutetime2000,frac_coll_plus2000,frac_coll_plus2010,foreign_share2010,med_hhinc1990,med_hhinc2016,poor_share2010,poor_share2000,poor_share1990,share_white2010,share_black2010,share_hisp2010,share_asian2010,share_black2000,share_white2000,share_hisp2000,share_asian2000,gsmn_math_g3_2013,rent_twobed2015,singleparent_share2010,singleparent_share1990,singleparent_share2000,traveltime15_2010,emp2000,mail_return_rate2010,ln_wage_growth_hs_grad,popdensity2010,popdensity2000,ann_avg_job_growth_2004_2013,job_density_2013
41,23,39205,John Day,58453.809,18.554468,.15792243,.17373432,.0075159813,24757.47965110973,39525.76292813969,.14389257,.13637763,.1253905,.93364674,.0047011417,.027803896,.0030893215,.002179954,.94592798,.020661891,.0019207768,3.521122,600.77539,.33545673,.16489851,.26300851,.5756318,.54233414,79.363564,-.030504931,1.6440173,1.7522199,-.022466315,.61697572
41,25,36502,Burns,60007.063,15.139653,.11867579,.16182126,.017293243,22220.95832815005,38813.93990838049,.18500055,.11843131,.10436815,.89571548,.0043115062,.039611965,.003709692,.0019913681,.89783758,.041630492,.0043057897,3.1969228,530.63422,.27620462,.1635877,.22533943,.72234952,.57946104,79.694252,,.73244601,.75090027,-.0056228815,.29003757
41,27,38802,The Dalles,69885.664,20.109034,.23122358,.25579667,.1729039,25146.25881017134,57386.00984516244,.094910257,.14153415,.1548202,.65846235,.0059965989,.2948626,.01307648,.0052524479,.70814788,.24893646,.013495218,3.3532584,1031.5698,.22026387,.19768794,.21910504,.52557844,.6210779,81.813606,-.02244061,42.812531,39.105278,.013787692,24.636459
41,29,36800,Medford,70424.961,20.020144,.21631584,.24099125,.05727794,26058.31531914977,47354.88710471147,.1410875,.12376551,.12777066,.83670264,.011028218,.10700963,.010255354,.0061293226,.88847446,.065753683,.0079031913,2.6010883,859.84167,.33955231,.23509979,.30127829,.42499849,.57002723,78.945526,-.016863037,73.002457,65.121513,-.005287644,31.109194
41,31,39203,Bend,62562.387,21.114058,.13547599,.15833251,.084779151,23351.26661474256,47501.18374769797,.19772074,.14632723,.18260626,.61827809,.0078268871,.19313997,.0035911601,.0041121976,.64873439,.17270337,.0031725047,2.1130421,659.83087,.32807899,.24398808,.29274917,.50261039,.58319849,75.248253,-.66992396,12.196868,10.674506,-.0015761545,4.6344728
41,33,36800,Medford,58920.215,21.478697,.13874452,.16250001,.035848923,21075.75868948627,39177.58804541003,.17952238,.1492296,.18218999,.88606387,.0069275689,.063484579,.0071337214,.0041200332,.91447145,.042594895,.0055013895,2.9497747,739.59894,.35107902,.28123343,.31766328,.4591147,.46956488,77.926765,.015851552,50.444939,46.183712,-.009186157,17.4645
41,35,36501,Klamath Falls,60420.488,18.636311,.16056536,.1817628,.051390182,24175.0468663275,43937.53128954504,.16711628,.16562179,.16363409,.81081653,.010967159,.10417295,.0082762381,.0087390887,.84183061,.077684775,.0067003933,2.6002307,704.41992,.3405492,.22198606,.31115925,.49714175,.53271091,78.76841,-.025760241,11.173109,10.734634,-.0051196329,4.332736
41,37,36503,Lakeview,55141.566,15.608157,.15469256,.16267478,.021784505,24356.41899936669,34117.62583913869,.17736779,.16286629,.14054535,.87080431,.0055731474,.069031037,.0046002725,.0032879345,.89266503,.053197201,.006395896,3.55304,566.23358,.32516029,.1679873,.26375943,.69803441,.52799028,82.183723,.065523557,.9700228,.91190743,-.0046966881,.37756553
41,39,38901,Eugene,69830.891,21.143282,.25964725,.28774151,.056458216,26820.74691440013,47667.36962028915,.17149907,.14671806,.14404909,.84673101,.01580541,.074398302,.020995809,.011925097,.88650024,.045448199,.017729523,3.2357821,844.57855,.33284757,.24825095,.32052618,.38492915,.60257876,79.78624,.0064285048,77.247017,70.933044,-.0039244476,33.849968
41,41,38902,Newport,62290.086,21.510172,.20597231,.23721981,.060323514,23148.01715081073,41952.62082373897,.1623424,.13863288,.14404191,.84422386,.0063431375,.079397835,.0095817829,.0048823641,.88281924,.047413856,.0088037066,2.2531836,819.49683,.31214768,.2605457,.37422663,.45783576,.53484988,84.12487,-.022833195,46.984783,45.397667,-.008393323,19.18013
41,43,38901,Eugene,66724.641,23.426323,.1351137,.16151795,.042178616,25827.15210056779,48050.71017896325,.15615195,.11254892,.13109496,.87063736,.0077996436,.078227855,.0081606405,.0045669978,.91202617,.043918986,.0068010208,2.6930804,783.16321,.32158706,.21938026,.27583599,.38792652,.58115751,80.838715,.071616158,50.945602,45.00737,.0032033192,21.114532
41,45,35802,Ontario,57498.508,19.040987,.10943483,.1387523,.097254343,20898.07588455332,37145.4361127966,.24171026,.18218778,.19289599,.63571042,.012518763,.31510875,.015169418,.012863945,.68814284,.25572035,.018873943,2.411365,596.68542,.32253024,.19709007,.25225997,.5151124,.48109394,81.91658,.1287318,3.1766548,3.2071874,-.0041657034,1.1412352
41,47,38901,Eugene,71743.805,24.837103,.19332092,.20395383,.14247799,27928.20515399592,51810.7100543866,.16217376,.13390994,.12982151,.68738961,.014410072,.24289724,.015266786,.011124497,.76426148,.17187527,.014531804,2.5812912,774.67761,.32151926,.25225878,.28371492,.32478094,.59033245,78.598442,.063431598,266.70755,240.91006,-.0021540327,113.59651
41,49,39100,Kennewick,65016.086,23.653902,.10370915,.10749581,.16589819,23211.70960765962,54447.33965810436,.15350731,.1500043,.16473772,.64602166,.0059965989,.31298667,.0038719843,.002145801,.71139777,.25200269,.0038512959,2.8048863,592.14142,.30800128,.23908421,.25509658,.37998,.58074093,79.734985,-.034162194,5.499579,5.4119639,-.001254474,2.5127854
41,51,38801,Portland,78047.227,25.620581,.29380432,.36226693,.1379059,28736.96776577847,61384.81844923204,.1619425,.12947826,.13348691,.72117299,.066751979,.10898177,.052327998,.063039772,.767492,.075070612,.045808014,3.1042304,1060.7498,.35264587,.294563,.33956558,.23435126,.64466757,77.818207,.054039478,1704.9641,1531.4115,.014619942,889.82819
41,53,38901,Eugene,74139.727,24.656466,.26060337,.28137824,.071351089,27420.38254472424,53457.94543983661,.13238445,.11484786,.13551569,.80503428,.010477036,.12052571,.016760921,.0063838903,.85632491,.08812128,.010222008,3.056175,757.73749,.26618791,.20446105,.24663846,.30568376,.60194564,81.026985,-.021412974,101.7877,84.202332,-.0020212256,43.047462
